Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
387.79	1.0000	8.1454	0.12277	6.2999	6.4227	17.031	149.97	195.13	852.05	-0.24498	undefined	undefined	liquid
387.79	1.1000	8.1476	0.12274	6.2925	6.4275	17.012	149.98	195.08	852.98	-0.24565	undefined	undefined	liquid
387.79	1.2000	8.1497	0.12270	6.2850	6.4323	16.993	149.99	195.04	853.90	-0.24631	undefined	undefined	liquid
387.79	1.3000	8.1518	0.12267	6.2776	6.4371	16.973	149.99	195.00	854.83	-0.24698	undefined	undefined	liquid
387.79	1.4000	8.1539	0.12264	6.2702	6.4419	16.954	150.00	194.96	855.75	-0.24764	undefined	undefined	liquid
387.79	1.5000	8.1560	0.12261	6.2628	6.4467	16.935	150.01	194.91	856.67	-0.24829	undefined	undefined	liquid
387.79	1.6000	8.1581	0.12258	6.2555	6.4516	16.916	150.01	194.87	857.59	-0.24894	undefined	undefined	liquid
387.79	1.7000	8.1602	0.12255	6.2481	6.4564	16.897	150.02	194.83	858.51	-0.24959	undefined	undefined	liquid
387.79	1.8000	8.1623	0.12251	6.2408	6.4613	16.878	150.03	194.79	859.42	-0.25023	undefined	undefined	liquid
387.79	1.9000	8.1644	0.12248	6.2335	6.4662	16.859	150.03	194.75	860.34	-0.25087	undefined	undefined	liquid
387.79	2.0000	8.1665	0.12245	6.2262	6.4711	16.840	150.04	194.71	861.25	-0.25151	undefined	undefined	liquid
387.79	2.1000	8.1685	0.12242	6.2189	6.4760	16.821	150.04	194.67	862.16	-0.25214	undefined	undefined	liquid
387.79	2.2000	8.1706	0.12239	6.2116	6.4809	16.802	150.05	194.63	863.08	-0.25277	undefined	undefined	liquid
387.79	2.3000	8.1727	0.12236	6.2044	6.4858	16.783	150.06	194.59	863.98	-0.25339	undefined	undefined	liquid
387.79	2.4000	8.1747	0.12233	6.1972	6.4907	16.764	150.06	194.55	864.89	-0.25401	undefined	undefined	liquid
387.79	2.5000	8.1768	0.12230	6.1900	6.4957	16.746	150.07	194.51	865.80	-0.25463	undefined	undefined	liquid
387.79	2.6000	8.1789	0.12227	6.1828	6.5007	16.727	150.07	194.47	866.70	-0.25524	undefined	undefined	liquid
387.79	2.7000	8.1809	0.12224	6.1756	6.5056	16.708	150.08	194.43	867.61	-0.25586	undefined	undefined	liquid
387.79	2.8000	8.1829	0.12221	6.1684	6.5106	16.689	150.08	194.39	868.51	-0.25646	undefined	undefined	liquid
387.79	2.9000	8.1850	0.12218	6.1613	6.5156	16.671	150.09	194.35	869.41	-0.25707	undefined	undefined	liquid
387.79	3.0000	8.1870	0.12214	6.1542	6.5206	16.652	150.10	194.31	870.31	-0.25767	undefined	undefined	liquid
387.79	3.1000	8.1890	0.12211	6.1471	6.5256	16.634	150.10	194.27	871.21	-0.25826	undefined	undefined	liquid
387.79	3.2000	8.1911	0.12208	6.1400	6.5306	16.615	150.11	194.24	872.11	-0.25886	undefined	undefined	liquid
387.79	3.3000	8.1931	0.12205	6.1329	6.5357	16.597	150.11	194.20	873.00	-0.25945	undefined	undefined	liquid
387.79	3.4000	8.1951	0.12202	6.1258	6.5407	16.578	150.12	194.16	873.90	-0.26003	undefined	undefined	liquid
387.79	3.5000	8.1971	0.12199	6.1188	6.5458	16.560	150.12	194.12	874.79	-0.26062	undefined	undefined	liquid
387.79	3.6000	8.1991	0.12196	6.1118	6.5508	16.541	150.13	194.09	875.68	-0.26120	undefined	undefined	liquid
387.79	3.7000	8.2011	0.12193	6.1047	6.5559	16.523	150.13	194.05	876.57	-0.26177	undefined	undefined	liquid
387.79	3.8000	8.2031	0.12190	6.0977	6.5610	16.505	150.14	194.01	877.46	-0.26235	undefined	undefined	liquid
387.79	3.9000	8.2051	0.12188	6.0908	6.5661	16.486	150.14	193.98	878.35	-0.26292	undefined	undefined	liquid
387.79	4.0000	8.2071	0.12185	6.0838	6.5712	16.468	150.15	193.94	879.23	-0.26348	undefined	undefined	liquid
387.79	4.1000	8.2091	0.12182	6.0769	6.5763	16.450	150.15	193.90	880.12	-0.26405	undefined	undefined	liquid
387.79	4.2000	8.2111	0.12179	6.0699	6.5814	16.432	150.16	193.87	881.00	-0.26461	undefined	undefined	liquid
387.79	4.3000	8.2130	0.12176	6.0630	6.5866	16.414	150.16	193.83	881.88	-0.26517	undefined	undefined	liquid
387.79	4.4000	8.2150	0.12173	6.0561	6.5917	16.395	150.17	193.80	882.76	-0.26572	undefined	undefined	liquid
387.79	4.5000	8.2170	0.12170	6.0492	6.5969	16.377	150.17	193.76	883.64	-0.26627	undefined	undefined	liquid
387.79	4.6000	8.2189	0.12167	6.0423	6.6020	16.359	150.18	193.72	884.52	-0.26682	undefined	undefined	liquid
387.79	4.7000	8.2209	0.12164	6.0355	6.6072	16.341	150.18	193.69	885.40	-0.26737	undefined	undefined	liquid
387.79	4.8000	8.2228	0.12161	6.0286	6.6124	16.323	150.19	193.65	886.28	-0.26791	undefined	undefined	liquid
387.79	4.9000	8.2248	0.12158	6.0218	6.6176	16.305	150.19	193.62	887.15	-0.26845	undefined	undefined	liquid
387.79	5.0000	8.2267	0.12156	6.0150	6.6228	16.287	150.20	193.59	888.02	-0.26899	undefined	undefined	liquid
387.79	5.1000	8.2287	0.12153	6.0082	6.6280	16.269	150.20	193.55	888.90	-0.26952	undefined	undefined	liquid
387.79	5.2000	8.2306	0.12150	6.0014	6.6332	16.252	150.21	193.52	889.77	-0.27006	undefined	undefined	liquid
387.79	5.3000	8.2325	0.12147	5.9947	6.6384	16.234	150.21	193.48	890.64	-0.27058	undefined	undefined	liquid
