Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
198.15	0.050000	0.030382	32.914	4.1061	5.7518	185.45	20.804	29.170	286.84	4.7631	12.812	0.018496	vapor
198.15	1.0500	0.65240	1.5328	4.0021	5.6116	159.62	21.027	30.496	285.35	4.6366	13.063	0.018976	vapor
198.15	2.0500	1.3022	0.76791	3.8949	5.4691	153.51	21.251	31.959	284.37	4.4900	13.348	0.019668	vapor
198.15	3.0500	1.9801	0.50502	3.7844	5.3247	149.66	21.475	33.562	283.99	4.3216	13.675	0.020538	vapor
198.15	4.0500	2.6854	0.37238	3.6711	5.1792	146.75	21.695	35.297	284.32	4.1312	14.050	0.021552	vapor
198.15	4.0500	2.6854	0.37238	3.6711	5.1792	146.75	21.695	35.297	284.32	4.1312	14.050	0.021552	supercritical
198.15	4.0500	2.6854	0.37238	3.6711	5.1792	146.75	21.695	35.297	284.32	4.1312	14.050	0.021552	supercritical
198.15	5.0500	3.4162	0.29272	3.5552	5.0334	144.35	21.909	37.145	285.47	3.9195	14.479	0.022686	supercritical
198.15	6.0500	4.1694	0.23984	3.4374	4.8885	142.28	22.114	39.071	287.55	3.6888	14.970	0.023922	supercritical
198.15	7.0500	4.9399	0.20243	3.3185	4.7457	140.45	22.307	41.022	290.65	3.4426	15.528	0.025248	supercritical
198.15	8.0500	5.7212	0.17479	3.1995	4.6065	138.80	22.483	42.933	294.85	3.1859	16.155	0.026655	supercritical
198.15	9.0500	6.5053	0.15372	3.0814	4.4726	137.29	22.641	44.731	300.19	2.9242	16.852	0.028135	supercritical
198.15	10.050	7.2835	0.13730	2.9656	4.3454	135.92	22.779	46.346	306.67	2.6633	17.617	0.029681	supercritical
198.15	11.050	8.0470	0.12427	2.8529	4.2261	134.66	22.898	47.722	314.23	2.4091	18.443	0.031278	supercritical
198.15	12.050	8.7880	0.11379	2.7445	4.1157	133.50	22.999	48.830	322.78	2.1662	19.320	0.032912	supercritical
198.15	13.050	9.5000	0.10526	2.6410	4.0147	132.44	23.084	49.664	332.19	1.9383	20.238	0.034563	supercritical
198.15	14.050	10.179	0.098244	2.5428	3.9232	131.47	23.156	50.245	342.30	1.7278	21.185	0.036214	supercritical
198.15	15.050	10.822	0.092408	2.4502	3.8409	130.57	23.218	50.603	352.97	1.5355	22.152	0.037850	supercritical
198.15	16.050	11.428	0.087507	2.3631	3.7676	129.75	23.271	50.778	364.03	1.3613	23.129	0.039459	supercritical
198.15	17.050	11.997	0.083351	2.2813	3.7025	128.99	23.317	50.807	375.38	1.2042	24.108	0.041032	supercritical
198.15	18.050	12.532	0.079795	2.2047	3.6450	128.28	23.360	50.725	386.90	1.0629	25.082	0.042565	supercritical
198.15	19.050	13.034	0.076724	2.1328	3.5944	127.63	23.399	50.561	398.50	0.93607	26.049	0.044055	supercritical
198.15	20.050	13.504	0.074050	2.0654	3.5501	127.03	23.436	50.339	410.12	0.82215	27.004	0.045502	supercritical
198.15	21.050	13.946	0.071704	2.0021	3.5114	126.47	23.472	50.078	421.68	0.71977	27.945	0.046907	supercritical
