Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
900.00	46.050	5.2242	0.19142	18.988	27.803	173.33	24.204	33.243	715.05	-0.67249	41.709	0.068340	supercritical
900.00	47.050	5.3198	0.18798	18.981	27.825	173.14	24.212	33.260	717.55	-0.67467	41.782	0.068521	supercritical
900.00	48.050	5.4147	0.18468	18.974	27.848	172.96	24.221	33.277	720.04	-0.67680	41.854	0.068703	supercritical
900.00	49.050	5.5090	0.18152	18.967	27.870	172.78	24.230	33.293	722.52	-0.67890	41.928	0.068884	supercritical
900.00	50.050	5.6026	0.17849	18.959	27.893	172.61	24.238	33.310	725.01	-0.68096	42.001	0.069066	supercritical
900.00	51.050	5.6956	0.17557	18.953	27.916	172.44	24.247	33.326	727.50	-0.68298	42.075	0.069247	supercritical
900.00	52.050	5.7880	0.17277	18.946	27.938	172.27	24.255	33.342	729.98	-0.68496	42.149	0.069429	supercritical
900.00	53.050	5.8798	0.17007	18.939	27.961	172.10	24.264	33.358	732.46	-0.68691	42.223	0.069610	supercritical
900.00	54.050	5.9710	0.16748	18.932	27.984	171.94	24.272	33.373	734.94	-0.68881	42.298	0.069792	supercritical
900.00	55.050	6.0616	0.16497	18.925	28.007	171.78	24.281	33.389	737.42	-0.69069	42.373	0.069974	supercritical
900.00	56.050	6.1515	0.16256	18.919	28.030	171.63	24.289	33.404	739.89	-0.69253	42.448	0.070155	supercritical
900.00	57.050	6.2409	0.16023	18.912	28.053	171.47	24.298	33.419	742.36	-0.69433	42.524	0.070337	supercritical
900.00	58.050	6.3297	0.15799	18.906	28.077	171.32	24.306	33.434	744.83	-0.69610	42.600	0.070519	supercritical
900.00	59.050	6.4179	0.15581	18.899	28.100	171.17	24.314	33.448	747.30	-0.69784	42.676	0.070701	supercritical
900.00	60.050	6.5056	0.15371	18.893	28.123	171.03	24.323	33.462	749.76	-0.69954	42.753	0.070883	supercritical
900.00	61.050	6.5927	0.15168	18.887	28.147	170.88	24.331	33.476	752.23	-0.70121	42.829	0.071065	supercritical
900.00	62.050	6.6792	0.14972	18.880	28.170	170.74	24.339	33.490	754.68	-0.70285	42.906	0.071247	supercritical
900.00	63.050	6.7651	0.14782	18.874	28.194	170.60	24.348	33.504	757.14	-0.70446	42.984	0.071429	supercritical
900.00	64.050	6.8506	0.14597	18.868	28.218	170.47	24.356	33.518	759.60	-0.70604	43.061	0.071611	supercritical
900.00	65.050	6.9354	0.14419	18.862	28.241	170.33	24.364	33.531	762.05	-0.70758	43.139	0.071793	supercritical
900.00	66.050	7.0198	0.14246	18.856	28.265	170.20	24.372	33.544	764.49	-0.70910	43.217	0.071975	supercritical
900.00	67.050	7.1036	0.14077	18.850	28.289	170.07	24.381	33.558	766.94	-0.71059	43.295	0.072158	supercritical
900.00	68.050	7.1868	0.13914	18.844	28.313	169.94	24.389	33.570	769.38	-0.71205	43.374	0.072340	supercritical
900.00	69.050	7.2696	0.13756	18.838	28.337	169.81	24.397	33.583	771.82	-0.71348	43.453	0.072523	supercritical
