Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
398.15	0.050000	0.015102	66.217	8.2748	11.586	205.80	20.933	29.257	406.46	1.0258	22.135	0.032080	vapor
398.15	1.0500	0.31625	3.1621	8.2360	11.556	180.39	20.970	29.488	408.88	0.98289	22.254	0.032342	vapor
398.15	2.0500	0.61558	1.6245	8.1975	11.528	174.74	21.005	29.716	411.41	0.94060	22.377	0.032641	vapor
398.15	3.0500	0.91292	1.0954	8.1593	11.500	171.34	21.041	29.939	414.04	0.89890	22.503	0.032970	vapor
398.15	4.0500	1.2081	0.82774	8.1215	11.474	168.89	21.076	30.159	416.79	0.85778	22.634	0.033325	vapor
398.15	4.0500	1.2081	0.82774	8.1215	11.474	168.89	21.076	30.159	416.79	0.85778	22.634	0.033325	supercritical
398.15	4.0500	1.2081	0.82774	8.1215	11.474	168.89	21.076	30.159	416.79	0.85778	22.634	0.033325	supercritical
398.15	5.0500	1.5010	0.66622	8.0841	11.449	166.96	21.110	30.374	419.63	0.81723	22.770	0.033701	supercritical
398.15	6.0500	1.7914	0.55821	8.0470	11.424	165.37	21.143	30.584	422.57	0.77728	22.909	0.034094	supercritical
398.15	7.0500	2.0793	0.48093	8.0104	11.401	164.02	21.176	30.790	425.60	0.73795	23.053	0.034499	supercritical
398.15	8.0500	2.3645	0.42293	7.9742	11.379	162.83	21.209	30.990	428.73	0.69925	23.201	0.034915	supercritical
398.15	9.0500	2.6468	0.37781	7.9384	11.358	161.77	21.241	31.185	431.95	0.66122	23.354	0.035339	supercritical
398.15	10.050	2.9262	0.34174	7.9031	11.338	160.82	21.272	31.375	435.25	0.62386	23.510	0.035769	supercritical
398.15	11.050	3.2026	0.31225	7.8682	11.318	159.95	21.303	31.558	438.64	0.58722	23.671	0.036203	supercritical
