Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.15	0.050000	0.020172	49.575	6.1881	8.6669	197.36	20.814	29.148	351.99	2.1523	17.804	0.025719	vapor
298.15	1.0500	0.42434	2.3566	6.1303	8.6047	171.86	20.884	29.609	353.60	2.0777	17.964	0.026066	vapor
298.15	2.0500	0.82953	1.2055	6.0726	8.5439	166.10	20.953	30.071	355.44	2.0020	18.134	0.026485	vapor
298.15	3.0500	1.2352	0.80961	6.0150	8.4844	162.61	21.020	30.532	357.52	1.9254	18.314	0.026961	vapor
298.15	4.0500	1.6407	0.60951	5.9578	8.4263	160.07	21.085	30.990	359.83	1.8481	18.503	0.027481	vapor
298.15	4.0500	1.6407	0.60951	5.9578	8.4263	160.07	21.085	30.990	359.83	1.8481	18.503	0.027481	supercritical
298.15	4.0500	1.6407	0.60951	5.9578	8.4263	160.07	21.085	30.990	359.83	1.8481	18.503	0.027481	supercritical
298.15	5.0500	2.0454	0.48890	5.9009	8.3698	158.05	21.148	31.443	362.37	1.7705	18.703	0.028037	supercritical
298.15	6.0500	2.4488	0.40836	5.8445	8.3150	156.37	21.209	31.890	365.15	1.6926	18.914	0.028618	supercritical
298.15	7.0500	2.8503	0.35084	5.7885	8.2619	154.93	21.269	32.327	368.16	1.6149	19.136	0.029218	supercritical
298.15	8.0500	3.2492	0.30776	5.7331	8.2106	153.65	21.327	32.753	371.40	1.5376	19.369	0.029833	supercritical
298.15	9.0500	3.6450	0.27435	5.6784	8.1612	152.51	21.383	33.167	374.86	1.4610	19.612	0.030458	supercritical
298.15	10.050	4.0371	0.24770	5.6243	8.1137	151.48	21.437	33.567	378.54	1.3853	19.867	0.031090	supercritical
298.15	11.050	4.4250	0.22599	5.5711	8.0682	150.53	21.490	33.951	382.43	1.3108	20.133	0.031729	supercritical
298.15	12.050	4.8082	0.20798	5.5186	8.0247	149.66	21.541	34.319	386.52	1.2378	20.409	0.032372	supercritical
298.15	13.050	5.1862	0.19282	5.4670	7.9833	148.85	21.590	34.669	390.81	1.1664	20.695	0.033020	supercritical
298.15	14.050	5.5587	0.17990	5.4163	7.9439	148.09	21.638	35.000	395.28	1.0968	20.992	0.033672	supercritical
298.15	15.050	5.9252	0.16877	5.3665	7.9065	147.38	21.684	35.314	399.93	1.0290	21.297	0.034327	supercritical
298.15	16.050	6.2855	0.15910	5.3177	7.8712	146.72	21.729	35.608	404.73	0.96332	21.612	0.034987	supercritical
298.15	17.050	6.6393	0.15062	5.2699	7.8379	146.09	21.773	35.884	409.70	0.89970	21.935	0.035651	supercritical
298.15	18.050	6.9865	0.14313	5.2230	7.8066	145.49	21.816	36.141	414.80	0.83825	22.266	0.036318	supercritical
298.15	19.050	7.3267	0.13649	5.1772	7.7773	144.92	21.857	36.381	420.03	0.77899	22.604	0.036990	supercritical
298.15	20.050	7.6600	0.13055	5.1324	7.7499	144.38	21.897	36.602	425.38	0.72194	22.949	0.037665	supercritical
298.15	21.050	7.9862	0.12522	5.0886	7.7244	143.87	21.936	36.806	430.83	0.66710	23.300	0.038343	supercritical
298.15	22.050	8.3054	0.12040	5.0459	7.7008	143.38	21.974	36.994	436.38	0.61445	23.657	0.039024	supercritical
298.15	23.050	8.6174	0.11604	5.0041	7.6789	142.91	22.011	37.166	442.02	0.56398	24.019	0.039707	supercritical
298.15	24.050	8.9224	0.11208	4.9634	7.6588	142.46	22.048	37.323	447.74	0.51563	24.385	0.040393	supercritical
298.15	25.050	9.2203	0.10846	4.9236	7.6404	142.03	22.083	37.467	453.52	0.46937	24.756	0.041079	supercritical
298.15	26.050	9.5113	0.10514	4.8848	7.6237	141.61	22.118	37.597	459.35	0.42512	25.130	0.041767	supercritical
298.15	27.050	9.7955	0.10209	4.8470	7.6084	141.21	22.152	37.715	465.24	0.38284	25.508	0.042455	supercritical
298.15	28.050	10.073	0.099276	4.8101	7.5948	140.83	22.186	37.822	471.16	0.34245	25.888	0.043142	supercritical
298.15	29.050	10.344	0.096676	4.7741	7.5825	140.46	22.219	37.918	477.12	0.30388	26.270	0.043829	supercritical
298.15	30.050	10.608	0.094267	4.7390	7.5717	140.10	22.251	38.004	483.10	0.26707	26.654	0.044514	supercritical
298.15	31.050	10.866	0.092027	4.7048	7.5622	139.76	22.283	38.081	489.11	0.23192	27.040	0.045198	supercritical
