Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
390.22	2.1000	7.4444	0.13433	29.794	30.076	113.10	122.82	201.14	383.29	0.94899	63.743	0.073307	0.0023228	0.99505	1.0050	40.803	42.913	145.99	123.84	179.25	165.49	19.254	11.124	0.031572
392.82	2.2000	7.3410	0.13622	30.285	30.584	114.36	123.69	205.81	366.45	1.0739	61.688	0.072581	0.0021070	1.0573	0.94584	40.955	43.036	146.06	125.00	185.85	162.85	19.350	11.339	0.032392
395.33	2.3000	7.2365	0.13819	30.766	31.084	115.59	124.56	210.99	349.91	1.2128	59.699	0.071885	0.0019028	1.1221	0.89123	41.094	43.144	146.10	126.15	193.23	160.15	19.462	11.562	0.033244
397.75	2.4000	7.1307	0.14024	31.239	31.575	116.80	125.44	216.79	333.65	1.3684	57.765	0.071217	0.0017095	1.1897	0.84054	41.220	43.237	146.12	127.31	201.54	157.42	19.588	11.794	0.034137
400.11	2.5000	7.0230	0.14239	31.704	32.060	117.98	126.33	223.37	317.63	1.5438	55.879	0.070575	0.0015267	1.2606	0.79327	41.333	43.317	146.11	128.48	211.03	154.64	19.726	12.039	0.035078
402.38	2.6000	6.9129	0.14466	32.164	32.540	119.14	127.22	230.93	301.81	1.7430	54.032	0.069959	0.0013536	1.3351	0.74899	41.434	43.381	146.08	129.65	221.98	151.82	19.876	12.297	0.036078
404.59	2.7000	6.7998	0.14706	32.619	33.016	120.28	128.14	239.77	286.18	1.9711	52.214	0.069368	0.0011901	1.4138	0.70730	41.520	43.430	146.02	130.83	234.80	148.96	20.035	12.571	0.037150
406.74	2.8000	6.6830	0.14963	33.071	33.490	121.41	129.07	250.29	270.69	2.2347	50.416	0.068804	0.0010356	1.4973	0.66787	41.592	43.462	145.93	132.04	250.08	146.05	20.201	12.863	0.038313
408.82	2.9000	6.5614	0.15241	33.521	33.963	122.54	130.04	263.08	255.34	2.5425	48.629	0.068271	0.00088997	1.5864	0.63036	41.648	43.476	145.81	133.27	268.63	143.09	20.371	13.178	0.039591
410.85	3.0000	6.4340	0.15542	33.972	34.438	123.66	131.03	279.05	240.08	2.9061	46.841	0.067775	0.00075299	1.6821	0.59449	41.687	43.470	145.64	134.55	291.72	140.09	20.540	13.521	0.041016
412.82	3.1000	6.2990	0.15875	34.424	34.917	124.78	132.07	299.64	224.89	3.3414	45.038	0.067332	0.00062454	1.7859	0.55993	41.706	43.442	145.43	135.88	321.34	137.03	20.702	13.898	0.042636
414.73	3.2000	6.1543	0.16249	34.883	35.403	125.92	133.18	327.25	209.74	3.8706	43.201	0.066967	0.00050461	1.8998	0.52637	41.702	43.387	145.17	137.28	360.84	133.91	20.847	14.319	0.044526
416.60	3.3000	5.9965	0.16676	35.352	35.903	127.08	134.36	366.36	194.58	4.5262	41.306	0.066734	0.00039330	2.0267	0.49341	41.671	43.299	144.83	138.78	416.30	130.73	20.961	14.798	0.046803
418.41	3.4000	5.8203	0.17181	35.839	36.423	128.29	135.66	426.06	179.36	5.3575	39.314	0.066747	0.00029090	2.1713	0.46056	41.603	43.169	144.41	140.42	500.13	127.47	21.019	15.358	0.049677
420.18	3.5000	5.6166	0.17804	36.355	36.978	129.57	137.16	528.27	164.00	6.4448	37.162	0.067283	0.00019796	2.3419	0.42701	41.486	42.980	143.85	142.28	642.02	124.11	20.973	16.040	0.053570
421.90	3.6000	5.3664	0.18635	36.926	37.597	131.00	138.99	742.06	148.31	7.9343	34.720	0.069144	0.00011557	2.5557	0.39127	41.289	42.697	143.08	144.46	934.59	120.60	20.728	16.933	0.059529
423.57	3.7000	5.0162	0.19936	37.625	38.363	132.76	141.64	1447.8	131.85	10.164	31.633	0.075461	4.6072e-05	2.8635	0.34923	40.926	42.218	141.86	147.24	1880.3	116.81	20.007	18.299	0.071570
